gadX	torR	hdeA	hdeB	yhiD
0.0	0.0	0.2176530864181756	0.5066736248452305	0.0
0.0	-0.10807150113396347	0.0	0.7009042665492832	0.0
0.0	0.0	0.0	0.0	0.728994252349737
0.0	0.0	0.0	0.0	0.0
-0.7630464031826705	-0.29711707797832787	0.22118504811998596	0.0	0.0
-0.5377639608923346	0.0	0.0	0.4902490266729235	0.5876096905707595
0.0	0.0	0.0	0.0	0.0
0.0	-0.7634873581118882	0.0	0.0	0.0
0.0	0.0	0.21500161500636628	0.0	0.0
-0.1757522039115429	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
-0.8529769135639071	-0.781364508671686	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	-0.9477597970981151	0.0	0.1904499131385326	0.0
0.0	0.0	-0.033494067834800564	0.0	0.0
-0.8285946829710156	0.0	0.0	0.8735659738201736	0.0
0.0	0.0	0.8071052311080336	0.8689187791794627	0.0
0.0	0.0	0.38775032550085475	0.0	0.0
0.0	0.0	0.8515358809473752	-0.05705920875630384	0.6478832943397788
-0.4825970430392772	0.0	0.1042341573721557	0.0	0.0
0.0	0.0	0.6907067373486995	0.0	0.0
-0.1445287372916937	0.0	0.510521058933699	0.02687680452504153	0.0
0.0	-0.34091869299300015	0.0	0.7280481046661823	0.0
0.0	-0.6481963216792792	0.0	0.0	0.0
