0	0.6351475	0.1478048	0.7896493	0.0553173	0.0421459	0.0729621	0.5027829	0.1896363	0.1038939	0.0510193	0.2728268	0.7949662	0.0648811	0.2741755	0.7085004	0.0048208	0.0595995	0.3745749	0.0474302	0.3945715
50	0.5082744	0.1721149	0.6111767	0.0224437	0.2051698	0.0819825	0.5671845	0.0943362	0.0301402	0.0213854	0.5466889	0.7370677	0.0245687	0.194963	0.7722894	0.0009198	0.0185007	0.3827205	0.0914233	0.4655873
100	0.7162559	0.1259673	0.6273444	0.0016285	0.286251	0.0511003	0.4869699	0.1324353	0.0671253	0.0253899	0.6158066	0.7199651	0.0182188	0.122077	0.8598546	0.0097148	0.0130414	0.3960955	0.0433455	0.4330196
150	0.5962771	0.1941758	0.7944957	0.0016411	0.2847876	0.0923708	0.5211075	0.1593201	0.0473909	0.0244989	0.6212406	0.7359745	0.061653	0.0646105	0.8029074	0.001343	0.0095965	0.4041393	0.0372007	0.389512
200	0.6375757	0.1934566	0.7016603	0.0019649	0.3121801	0.1026023	0.6113575	0.2173039	0.0757572	0.0591728	0.6883311	0.7583496	0.0854791	0.1138761	0.6122875	0.0031271	0.0150539	0.4214602	0.057406	0.377963
250	0.578469	0.1527419	0.7604131	0.0006421	0.2994615	0.1655964	0.6059648	0.1261633	0.0301924	0.0177598	0.6836852	0.7056136	0.0345669	0.0762439	0.6634572	0.0052098	0.0206717	0.3357212	0.0406303	0.4004197
300	0.6160276	0.1597434	0.6909377	0.0021518	0.3416593	0.1059469	0.6868366	0.1951776	0.0473378	0.0292669	0.6788662	0.5877826	0.0341129	0.1100845	0.7643927	0.0060818	0.0055686	0.3311661	0.0607465	0.3941184
350	0.7535593	0.1267644	0.6998686	0.0016473	0.2603022	0.0830394	0.6521257	0.1530095	0.0382432	0.0198032	0.6764531	0.7142106	0.0370731	0.1565173	0.6983136	0.0092182	0.0098236	0.3651971	0.0532254	0.5235926
400	0.5787662	0.1685445	0.771888	0.0018483	0.3846625	0.1932203	0.739719	0.1678308	0.0447065	0.0303631	0.6360978	0.8274827	0.0597456	0.1149247	0.8242566	0.0062034	0.0047994	0.4026451	0.067212	0.4552077
450	0.6090986	0.167191	0.8267075	0.0025392	0.2442571	0.1569439	0.5996879	0.132318	0.02485	0.0375874	0.5168691	0.819376	0.0284172	0.1325778	0.7020777	0.0047597	0.0070417	0.3902419	0.0617293	0.3127996
500	0.5808584	0.2283513	0.6504743	0.0023788	0.3043853	0.0995198	0.4695994	0.1693735	0.0302286	0.0671841	0.6820594	0.7589938	0.0524744	0.1440398	0.6709825	0.0070623	0.0140304	0.3603018	0.0737763	0.3351599
550	0.5337482	0.1608044	0.7028628	0.0258638	0.1276064	0.1013135	0.5115147	0.1673387	0.0526419	0.0260356	0.4064681	0.7115824	0.0333853	0.2216517	0.6983501	0.0031418	0.0526276	0.45216	0.0357581	0.4205331
600	0.3881586	0.1814783	0.7239844	0.0180252	0.0824126	0.103722	0.4430565	0.1405545	0.0702172	0.0697688	0.3296088	0.7598906	0.1028597	0.3045236	0.718728	0.0004089	0.0534324	0.3660841	0.048527	0.4668613
650	0.4875295	0.1993187	0.6951354	0.0466517	0.0507842	0.1041871	0.4629025	0.1422258	0.0553393	0.0307489	0.3230671	0.7295968	0.030053	0.2641567	0.6904144	0.0011329	0.0324781	0.2804601	0.0427204	0.4969501
700	0.4696789	0.1258099	0.6628162	0.0864759	0.0201042	0.0495909	0.2352308	0.1225655	0.0397501	0.0160056	0.2986274	0.6311103	0.0296498	0.275565	0.7336039	0.0024119	0.0411372	0.2039086	0.0297969	0.296382
750	0.4506939	0.1925074	0.7160251	0.0362336	0.0384443	0.0105294	0.1980135	0.108058	0.0428152	0.050274	0.2151421	0.6130297	0.0536726	0.3504598	0.6178385	0.0023995	0.0590516	0.2406262	0.0155428	0.4917867
800	0.4740109	0.2015668	0.7127651	0.0436762	0.0308324	0.0461636	0.2888723	0.1337713	0.0704669	0.0248616	0.2303216	0.8312409	0.0301361	0.3654177	0.6875431	0.0087585	0.0877315	0.2965217	0.0544256	0.3568642
850	0.6710426	0.1773054	0.8360635	0.0768953	0.0578049	0.0476929	0.3844382	0.1647094	0.0617201	0.0221811	0.2472241	0.744135	0.0257438	0.4350045	0.7436091	0.0154604	0.0670153	0.3600833	0.0326126	0.3828913
900	0.5226825	0.2970678	0.7342112	0.0390043	0.0558368	0.0914048	0.5256062	0.1246627	0.0688142	0.0120386	0.2018324	0.6272418	0.029848	0.4220132	0.7655842	0.0012236	0.0719167	0.4396327	0.0458015	0.4618283
950	0.563696	0.3135405	0.7148476	0.0466683	0.0316685	0.0760322	0.4698057	0.1694118	0.0693467	0.0384065	0.2585792	0.7335218	0.0499774	0.2897759	0.6513314	0.0021937	0.0475437	0.4457062	0.0844512	0.4362991
