fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
0.0	0.7967806124948332	-0.322568841278553	-0.039024657336995006	0.0	0.26296973801899326	0.0	0.0	-0.8995790358167142	-0.26710878987796605
0.0	0.0	0.0	0.0	0.4543078694378474	0.0	0.0	-0.9345437427982688	0.0	0.0
0.0	0.9244283476733038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.2178547524381429	0.0	-0.34517862275242805	0.0	0.0	0.0	0.0	0.0	0.0	-0.7125521071720868
0.0	0.0	-0.5422571406234056	0.0	0.0	-0.004162435971837519	-0.3317958343981627	0.0	0.0	0.0
0.0	0.2995255779829244	0.0	0.0	0.0	0.15161424470815432	0.0	0.0	-0.324694354319945	-0.6856635848525912
-0.6180679986719042	0.7042234904952714	0.0	0.0	0.11496116187213745	-0.6846922075773441	-0.4183627738824907	-0.2374472797382623	0.0	0.0
0.0	0.0	0.0	-0.2311084484681487	0.27702888393564906	0.0	0.17978975323747365	-0.9137223481666297	0.0	0.0
-0.5995397274382412	0.66936695360396	0.0	-0.2866854281164706	0.0	-0.2778915109510385	0.0	0.0	0.0	-0.6337929232977331
0.0	0.0	0.0	0.0	0.0	0.18422153210948777	0.0	0.0	0.0	-0.10274230549111962
0.0	0.0	-0.23152305674739182	-0.3800040637142956	0.06227500889240589	0.0017740176127440943	0.0	0.0	-0.5165468996856362	0.0
-0.7993246347177774	0.0	-0.508971138857305	0.0	0.0	0.0	0.0	0.0	0.0	-0.6094762606080621
0.0	0.7274482822399954	0.0	0.0	0.0	-0.3269852149232142	0.0	-0.8492330051958561	0.0	0.0
0.0	0.562748487981073	0.0	0.0	0.0	0.0	0.0	-0.08569212746806443	0.0	-0.8408344152849168
-0.329815779812634	0.8157577181123564	-0.9875169647857547	-0.6031735588330775	0.4083060220701137	0.0	0.0	-0.9705853008199483	0.0	0.0
0.0	0.0	-0.087238002801314	0.0	0.0	-0.6174119912019782	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.38575930520892143	0.0
0.0	0.903759025212414	-0.4364432089496404	0.0	0.0	0.0	0.0	0.0	-0.04279107227921486	0.0
0.0	0.45290099497701924	0.0	-0.257019181502983	0.13162162982648995	0.16386646955024076	0.0	0.0	0.0	0.0
0.0	0.9066008866653213	0.0	0.0	-0.42958252677903686	0.27624374526302886	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16913953493349254	0.0	0.0
-0.5931008881889284	0.3463208588660131	-0.3792769927531481	0.0	-0.3530596695954463	-0.5014210749349408	0.5209840883758989	-0.5081837689504027	0.0	-0.037050143582746387
0.0	0.0	0.0	0.0	0.0	-0.0850804460632466	-0.050364864452076274	0.0	-0.7936982556711882	0.0
0.0	0.45253097120489877	0.0	0.0	0.12472332817292597	0.0	-0.2025358194227192	0.0	0.0	-0.5811613101977855
-0.8720870318356901	0.24785290652703443	-0.38870438816957176	0.0	0.0	0.0	0.0	0.0	0.0	-0.26472327718511224
