fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
0.0	0.0	-0.29124649707227945	0.0	0.0	0.0	0.0	-0.2901719706133008	0.0	-0.5785282179713249
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.02333603473380208	-0.43256122432649136
0.0	0.0	0.0	-0.9753942778334022	0.0	0.0	-0.1524779092728022	0.0	-0.5711839408613741	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.20336650668430595	0.0	0.0	0.0
-0.45641171908937395	0.0	0.0	0.0	0.0	-0.05385653380554545	0.0	0.0	0.0	0.0
0.0	0.0	-0.7274679318070412	0.0	0.09417716822377231	0.0	-0.28731703168925377	0.0	0.0	-0.659355100709945
-0.02336685755290091	0.0	-0.5130806569941342	-0.184140392113477	0.0	0.296331183200065	0.0	-0.15466836956329644	0.0	0.0
0.0	0.0	-0.426214438630268	-0.9642164204269648	0.0	0.0	0.0	0.0	-0.8578672825824469	0.0
0.0	0.7052099853176991	-0.7031092296820134	0.0	0.0	0.0	0.0	-0.4836505735293031	0.0	-0.1019957847893238
-0.5585956822615117	0.0	0.0	-0.7520749622490257	0.37869506714655843	-0.19453944251191246	0.0	0.0	-0.41670252522453666	0.0
-0.6051640438381582	0.0	-0.17620105179958045	0.0	0.0	0.0	0.0	0.0	0.0	-0.6703594443388283
-0.19248325936496258	0.3237430080194394	-0.3861891902051866	-0.5588613417930901	0.0	0.18255208493891728	0.0	-0.003425654722377658	0.0	0.0
-0.14950871956534684	0.9556328560579935	0.0	0.0	-0.431689594045516	-0.40905817793000865	0.0	-0.48399535566568375	0.0	0.0
0.0	0.0	-0.5410002598073334	0.0	0.0	0.0	0.13134002832483022	-0.3261795269791037	-0.29078150633722544	-0.30813693488016725
0.0	0.0	-0.16522159636951983	0.0	-0.07683043448464189	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.7500827489420772	-0.6900991501752287	0.02176239610439923	0.0	0.0	0.0	0.0	0.0
0.0	0.042462445272169504	-0.24535943754017353	-0.24257253273390234	-0.5046051543785742	0.0	0.0	0.0	-0.2289240995887667	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.0765939128327045	0.0	0.0	-0.13165235449559987
0.0	0.0	0.0	-0.44424098380841315	0.0	0.0	0.0	0.0	0.0	-0.18498330982401967
0.0	0.0	-0.6786943057086319	0.0	-0.12743176739872608	0.0	0.0	-0.025115818018093705	0.0	0.0
0.0	-0.006161398079209533	0.0	-0.3277132969815284	0.0	0.0	0.35144140345762936	0.0	0.0	-0.1907739914022386
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9199452071916312	0.0	-0.11015858524478972
0.0	0.0	0.0	-0.9709859977010638	0.0	-0.3607775981935524	0.0	-0.5610786706674844	-0.9342960882931948	0.0
0.0	0.0	-0.0837858971208334	0.0	-0.2687914325969777	0.0	0.0	0.0	-0.33662677905522287	-0.49878245778381824
0.0	0.0	-0.0020628245547413826	0.0	0.0	0.0	0.0	-0.11711969552561641	-0.10159567068330944	0.0
-0.45609816373325884	0.0	0.0	0.0	0.0	0.0	0.5241959004921046	0.0	0.0	0.0
-0.9822654637973756	0.0	0.0	0.0	0.4030854950079211	0.0	0.0	0.0	0.0	-0.8982880511321127
-0.3517098496668041	0.0	0.0	-0.6280275725293905	0.0	0.0	0.1663373786282864	0.0	-0.12588963308371603	0.0
0.0	0.0	0.0	0.0	0.0	-0.42966433157463	-0.42234135202344986	0.0	0.0	0.0
0.0	0.9202745039370278	0.0	0.0	0.0	0.0	0.0	-0.16866500349715352	0.0	0.0
0.0	0.2883242070097844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.4859325909918957	0.0	0.0	0.0	-0.5055750145111233
0.0	0.0	0.0	0.0	0.0	0.20939149093564224	0.0	0.0	-0.9028769342694432	-0.10947609203867614
0.0	0.0	0.0	0.0	0.0	0.0	0.22430103791664807	0.0	0.0	0.0
0.0	0.580620754452459	0.0	0.0	-0.19377125903242443	0.0	-0.46195214839865	0.0	-0.8777834950014949	0.0
-0.500689288135618	0.0	-0.9627119791693985	0.0	0.0	0.0	0.4417178571016666	-0.04826022079214454	0.0	0.0
0.0	0.0	0.0	0.0	-0.35959856827953074	0.0	0.0	-0.985962197650224	0.0	0.0
-0.006449644220992923	0.5261252244823048	0.0	-0.10314379585906863	-0.47447536663362	0.0	0.0	0.0	-0.0721242087893188	-0.6304925966542214
0.0	0.0	0.0	0.0	0.0	0.0	-0.11866130183663698	0.0	-0.4932063687592745	-0.20866641611792147
0.0	-0.006051331583373752	0.0	-0.16054735309444368	0.0	-0.17933451439503956	0.0	0.0	-0.8516834038309753	0.0
0.0	0.0	0.0	0.0	0.0	-0.34775881454598534	0.0	-0.3436765158548951	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.24763845600005188	-0.09378974745050073	-0.7943773337174207	0.0	0.0	0.0	-0.4017486139200628	-0.4370859886985272	-0.5917320584412664
0.0	0.0	0.0	-0.7684452442917973	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.39957384191703427	0.2860007619743374	0.0	-0.22212637960910797	-0.577773368684575
0.0	0.5584714181609819	0.0	-0.26902610901743174	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.8764448536094278	0.0	0.0	0.0	0.0	0.0	-0.9649921525269747	0.0
0.0	0.2555594234150271	0.0	0.0	0.0	0.0	0.0	-0.07296545361168683	0.0	-0.30161560350097716
0.0	0.0	0.0	-0.46624771342612803	0.0	-0.32405829694372046	0.0	0.0	0.0	0.0
-0.43983361101709306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5633098953403533	0.0
