"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7372330	0.2451789	1.0000000	0.0510388	0.0384122	0.1005430	0.6565085	0.2266183	0.0873186	0.0317461	0.3882843	0.9967867	0.0618466	0.4434777	0.9998959	0.0076538	0.1095301	0.5084075	0.0853994	0.5677491
50	0.7334301	0.2297768	1.0000000	0.0510387	0.0381458	0.0992012	0.6523921	0.2631161	0.0868390	0.0317452	0.3881327	0.9967463	0.0618093	0.3827932	0.9999168	0.0076487	0.1087996	0.5053543	0.0846220	0.7403165
100	0.7113752	0.2116281	1.0000000	0.0510386	0.0364802	0.0911403	0.6219824	0.3061263	0.0841570	0.0317408	0.3867073	0.9964194	0.0615890	0.2978471	0.9999351	0.0076181	0.1048924	0.4855330	0.0801647	0.8861416
150	0.6782340	0.2009496	1.0000000	0.0510386	0.0337505	0.0779843	0.5573658	0.3297555	0.0803248	0.0317348	0.3818611	0.9955806	0.0612520	0.2357785	0.9999391	0.0075706	0.0994588	0.4513612	0.0734076	0.9479833
200	0.6484894	0.1957417	1.0000000	0.0510386	0.0310538	0.0648565	0.4758148	0.3395422	0.0769928	0.0317299	0.3733147	0.9942177	0.0609460	0.1973773	0.9999342	0.0075263	0.0948198	0.4155247	0.0671323	0.9700793
250	0.6279918	0.1934180	1.0000000	0.0510385	0.0289835	0.0546613	0.3996852	0.3426684	0.0747020	0.0317269	0.3629904	0.9925632	0.0607342	0.1753883	0.9999258	0.0074946	0.0916869	0.3859631	0.0625191	0.9769420
300	0.6159352	0.1924337	1.0000000	0.0510385	0.0276149	0.0478483	0.3412611	0.3432309	0.0733233	0.0317253	0.3532027	0.9909639	0.0606102	0.1633843	0.9999176	0.0074751	0.0898367	0.3647108	0.0595456	0.9785541
350	0.6095407	0.1920307	1.0000000	0.0510385	0.0267952	0.0437272	0.3020039	0.3430305	0.0725616	0.0317245	0.3453505	0.9896749	0.0605452	0.1570549	0.9999111	0.0074643	0.0888335	0.3507782	0.0577797	0.9786031
400	0.6063838	0.1918695	1.0000000	0.0510385	0.0263374	0.0414066	0.2779913	0.3427192	0.0721651	0.0317242	0.3397653	0.9887734	0.0605137	0.1538083	0.9999068	0.0074587	0.0883205	0.3422640	0.0567868	0.9783302
450	0.6049040	0.1918062	1.0000000	0.0510385	0.0260948	0.0401698	0.2642912	0.3424773	0.0719678	0.0317240	0.3361329	0.9882078	0.0604993	0.1521808	0.9999042	0.0074560	0.0880690	0.3373509	0.0562494	0.9780858
500	0.6042368	0.1917816	1.0000000	0.0510385	0.0259714	0.0395391	0.2568853	0.3423230	0.0718729	0.0317240	0.3339265	0.9878812	0.0604930	0.1513806	0.9999027	0.0074547	0.0879495	0.3346484	0.0559664	0.9779286
550	0.6094001	0.2071742	1.0000000	0.0510385	0.0261423	0.0398964	0.2565271	0.3053736	0.0720497	0.0317254	0.3327634	0.9878839	0.0605481	0.2081827	0.9998526	0.0074595	0.0886284	0.3364775	0.0564730	0.7794188
600	0.6371555	0.2253193	1.0000000	0.0510385	0.0276436	0.0445344	0.2828503	0.2613227	0.0736334	0.0317315	0.3340771	0.9890154	0.0608400	0.2905699	0.9998210	0.0074910	0.0925309	0.3571013	0.0604213	0.6164560
650	0.6729848	0.2359964	1.0000000	0.0510385	0.0302547	0.0544091	0.3459850	0.2369916	0.0766727	0.0317378	0.3403664	0.9910822	0.0612110	0.3531970	0.9998269	0.0075393	0.0979631	0.3936352	0.0668551	0.5574292
700	0.7011166	0.2412038	1.0000000	0.0510385	0.0329423	0.0669084	0.4290182	0.2272276	0.0800449	0.0317420	0.3505783	0.9931342	0.0614969	0.3931848	0.9998466	0.0075833	0.1025914	0.4315657	0.0731456	0.5465560
