gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
-0.798309683566913	0.0	-0.7243131326977164	-0.7517194454558194	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.274159740190953	-0.7179305807221681	-0.18066258526784718	0.0	0.0	0.8798637768893869	0.0	0.8652564417799787
0.0	0.0	0.0	0.0	0.0	0.0	-0.008430688239367372	0.0	0.2235149084377055	0.18442358614372484
0.0	0.0	0.0	0.0	0.0	0.9548368150194382	0.1234075431081339	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.3821522888087873	0.0	0.751037912600431	0.0	0.0
0.0	0.0	-0.636805722489953	0.0	0.0	0.0	0.0	0.5527555268898041	0.0	0.0
0.0	0.0	-0.8521663243882358	0.0	0.14362299294764758	0.0	0.520025413420318	0.0	0.0	0.0
-0.06804331601597369	0.0	0.0	-0.9738289911765605	0.0	0.0	0.0	0.0	0.0	0.3017090289151149
-0.6152985778171569	0.0	0.0	0.0	0.013861358785951738	0.0	0.027076995402841204	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.5423651825937316	0.0	-0.1705986510709907	0.7109762092815565
0.0	0.0	-0.13384030968882143	-0.11523681343533099	-0.34251694109668374	0.578409455373252	0.0	0.0	0.054040456402203896	0.0
0.0	-0.5044571934267879	-0.9892904369626194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.1835705558769405	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.10314825689420104	0.0	0.0	0.3181031298649703	0.0	0.0	0.0	0.0
0.0	-0.6249381508678198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.0071227524895220995	-0.4968980879057199	0.0	0.0	0.0	0.0	0.0	0.7341235127940209	-0.4233427096837248	0.0
0.0	-0.3335790098644793	-0.46598166320472956	0.0	0.0	0.8117326094129329	0.5231135289019778	0.21993413909221005	-0.38349821653487637	0.0
0.0	0.0	0.0	0.0	0.0	-7.564324128235753E-4	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.020357320673132402	0.8375474775045052	0.0	0.3826461042995517	0.0
