gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
-0.5179706935305148	0.0	0.0	0.0	0.0	0.0	0.1178172772585287	0.0	0.22567542616938696	0.0
0.0	0.0	0.0	0.0	0.0	0.9241673228156959	0.0	0.0	0.0	0.0
0.0	0.0	-0.03663353971205652	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.4122909524012357	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.07419240544550121	-0.8943564940709621	0.0	-0.6243937278632075	0.23140972309368313	0.0	0.0	0.0	0.0	0.0
0.0	-0.678769075544551	0.0	-0.3363512787036598	0.0	0.006223062874117953	0.0	0.0	0.22440509239872442	0.0
0.0	0.0	0.0	0.0	0.0	0.5577021568373983	0.0	0.0	0.09464155577783928	0.0
-0.8484698110260069	-0.1381593483965844	-0.48438532487489283	-0.5243573170155287	0.0	0.026832344598436815	0.0	0.0	-0.09475036852332308	0.43975720580162875
0.0	-0.5806608097627759	0.0	-0.9041601668577641	0.0	0.0	0.0	0.0	0.0	0.0788877040842401
0.0	0.0	-0.09866163111291826	0.0	0.0	0.7934471721586978	0.0	0.0	0.0	0.2929529010081517
-0.8318978443276137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35921215403554485	0.3329519143091368
0.0	-0.05666907085105777	0.0	0.0	0.2037825127280748	0.0	0.0	0.0	0.0	0.6003911483796166
0.0	-0.5522003679070622	0.0	-0.518897864734754	-0.0967189465500915	0.9303284111724441	0.21837005688090466	0.0	0.0	0.0
-0.15353763429448009	-0.11224687797948718	0.0	-0.7257542333099991	-0.517036000577783	0.0	0.0	0.5156910372141184	-0.28806231033327534	0.0
-0.6233770833350718	-0.8069081529974937	-0.6503912422340363	-0.6117806320544332	0.0	0.0	0.05179501248736524	0.9710644988051982	0.0	0.8204104271946328
0.0	0.0	0.0	0.0	0.0	0.0	0.8832158303654626	0.8733015627774776	0.011772491016513564	0.26547606035562626
0.0	-0.9130166692193598	0.0	0.0	0.0	0.0	0.480260051258175	0.4247175899043114	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12005212253230169	0.0
0.0	0.0	0.0	0.0	-0.518988329064151	0.0	0.0	0.4550869401253195	0.010983068241826155	0.14955179162750415
-0.7438782898243517	0.0	0.0	0.0	-0.5039983790684992	0.0	0.0	0.0	0.0	0.0
-0.443003648892045	0.0	0.0	0.0	0.0	0.9254347620357966	0.25683815049220465	0.36336083330096614	0.0	0.0
0.0	0.0	0.0	0.0	-0.11064396480475902	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.3049109036420041	0.742604064877445	0.6130116134251341	0.08111015257308198	-0.1317468667616184	0.0
0.0	-0.5328255374915898	0.0	0.0	0.0	0.0	-0.0066956489511892855	0.048897437209952	0.0	0.0
0.0	-0.6082037100568414	0.0	0.0	-0.4115332074780518	0.0	0.877685855079709	0.4949801686860056	0.29796847838637874	0.0
