"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.8099657	1.0387888	0.4130288	0.2790089	0.4196823	0.0385572	0.3334307	0.1666096	0.2175640	0.2212362	0.2151627	0.0461127	0.0476917	0.6351822	0.9607216	0.0203950	0.2054476	0.4881028	0.2240699	0.3860654
50	0.8440170	0.9953693	0.3758543	0.2950896	0.1981664	0.0356953	0.2703779	0.1374978	0.2193203	0.1938363	0.2066985	0.0275509	0.0443571	0.5896124	1.0819518	0.0159572	0.2126633	0.4741227	0.2027354	0.4695958
100	0.8555929	1.0432111	0.4851176	0.2652404	0.0773854	0.0545925	0.2851619	0.1456867	0.2424167	0.2520150	0.2229248	0.0173600	0.0714104	0.6044465	1.1908585	0.0288040	0.1545813	0.4573379	0.2828444	0.4095016
150	0.7359039	1.0320044	0.4968035	0.2983230	0.0783689	0.0543947	0.2979257	0.1736332	0.2359575	0.2354328	0.2529047	0.0336363	0.0386443	0.5434490	1.0526149	0.0280895	0.1296586	0.4882026	0.2621552	0.4234461
200	0.7631324	0.9321240	0.4822331	0.3239473	0.0606151	0.0426736	0.2585967	0.2016781	0.2776807	0.2167222	0.2354387	0.0195605	0.0578627	0.5834574	0.9930349	0.0296943	0.1489682	0.4856632	0.2427389	0.3709042
250	0.7412184	1.0218533	0.4994980	0.2897154	0.0297607	0.0324841	0.2580810	0.1811243	0.2533124	0.1818031	0.2330428	0.0132910	0.0509069	0.5853844	0.8893120	0.0218164	0.1808116	0.4784886	0.2528686	0.3674171
300	0.7177874	1.1053476	0.4279165	0.2721444	0.0143262	0.0402727	0.2894526	0.2026853	0.2414315	0.1687072	0.2181835	0.0061459	0.0347594	0.6520244	0.9424844	0.0323770	0.1277632	0.5054491	0.2256795	0.4000901
350	0.7796522	1.0996818	0.4140078	0.2177174	0.0551826	0.0518154	0.3351672	0.1721556	0.2360447	0.1366933	0.1929324	0.0191285	0.0671958	0.6342560	0.9731017	0.0295255	0.1457006	0.4552329	0.1845817	0.4652967
400	0.7602322	1.0380931	0.5170734	0.2220501	0.0646221	0.0825673	0.4078682	0.1444586	0.3038106	0.1617720	0.1688632	0.0350606	0.0279839	0.6552607	1.0006207	0.0128825	0.0930775	0.4873800	0.1200027	0.4374164
450	0.8032604	0.9788553	0.4618428	0.2535168	0.0403277	0.0810676	0.3760546	0.1861935	0.2684899	0.1490842	0.2282439	0.0185552	0.0657647	0.6850354	0.9586956	0.0212280	0.0961017	0.4072105	0.1436549	0.3490386
500	0.7702067	0.9928449	0.5270286	0.2430902	0.0679906	0.0873648	0.3416993	0.1790433	0.3184942	0.1605492	0.2070020	0.0156745	0.0407948	0.6511405	1.0259992	0.0154754	0.1154384	0.4213023	0.1907544	0.3410259
550	0.7479491	1.0635438	0.4630248	0.2551948	0.2384901	0.0649605	0.3557010	0.1114399	0.2638314	0.1790147	0.1964145	0.0291502	0.0511358	0.5811140	0.9870450	0.0183795	0.1774453	0.4543104	0.1818473	0.3787450
600	0.7734130	1.0729087	0.4264731	0.2654843	0.3051755	0.0831083	0.3464866	0.1449082	0.2915235	0.1571125	0.1707004	0.0319636	0.0321448	0.5585046	0.9646852	0.0114696	0.1496507	0.5200241	0.1914439	0.3700580
650	0.8160358	1.0394348	0.3578334	0.2892417	0.2852733	0.0603479	0.3193413	0.1260550	0.3238096	0.1423267	0.1988362	0.0366114	0.0243270	0.6018960	0.9525432	0.0127081	0.1801815	0.4754121	0.2063360	0.4544322
700	0.8090428	1.0120916	0.4421518	0.2645875	0.3991396	0.0669767	0.2790222	0.1336481	0.2555490	0.1499251	0.2015440	0.0495729	0.0317654	0.5808673	0.9448153	0.0155418	0.2585611	0.5135680	0.1648561	0.4115568
750	0.7800096	1.0563843	0.4488442	0.2299435	0.4284341	0.0425949	0.2902991	0.1312202	0.2468950	0.1496692	0.1952122	0.0421578	0.0302275	0.5597632	0.9488370	0.0310190	0.2639182	0.5110708	0.1730986	0.3551174
800	0.8448179	1.0396670	0.4437718	0.2266135	0.3848802	0.0633220	0.2895802	0.1641541	0.2967312	0.1928533	0.1919273	0.0494782	0.0665619	0.4878566	1.0199149	0.0258526	0.1653811	0.5189224	0.1617529	0.4263218
850	0.8366091	0.9583678	0.4650672	0.2440918	0.4643977	0.1050062	0.3859463	0.1837438	0.3136025	0.2035720	0.2114946	0.0643722	0.0414934	0.4818961	0.9967657	0.0075980	0.2355033	0.5702409	0.1738183	0.4307925
900	0.8021842	0.8731461	0.4865764	0.3270588	0.4167935	0.0782069	0.3455878	0.1968190	0.2935755	0.1829281	0.1708463	0.0591116	0.0570113	0.5287927	1.0164706	0.0123557	0.2059959	0.5821468	0.2179253	0.3502872
950	0.7293525	1.0283651	0.4736898	0.2778006	0.5131653	0.0579520	0.3246605	0.1938389	0.2470490	0.2196558	0.2336528	0.0640100	0.0252293	0.5347111	0.9717223	0.0289745	0.2400205	0.5455591	0.2766700	0.3907274
1000	0.7107143	1.1532327	0.5273748	0.2878659	0.4375125	0.0458362	0.3515676	0.1778601	0.2747670	0.2104470	0.2759446	0.0534389	0.0414245	0.5846068	0.9875979	0.0311300	0.2222888	0.5315710	0.2779739	0.3743195

0	0.8099657	1.0387888	0.4130288	0.2790089	0.4196823	0.0385572	0.3334307	0.1666096	0.2175640	0.2212362	0.2151627	0.0461127	0.0476917	0.6351822	0.9607216	0.0203950	0.2054476	0.4881028	0.2240699	0.3860654
50	0.8194311	1.0364104	0.3934336	0.2578998	0.2198012	0.0734243	0.2067881	0.1455173	0.2257279	0.2305655	0.2238530	0.0434442	0.0492595	0.5122998	0.9735579	0.0259565	0.1410737	0.4463088	0.3017333	0.3909297
100	0.8917610	1.0484164	0.4119801	0.1793117	0.1320755	0.0819236	0.1148672	0.2082470	0.2765395	0.1540017	0.1842639	0.0360331	0.0301268	0.5699019	0.9870597	0.0096249	0.1230877	0.4392253	0.2543004	0.4203680
150	0.9659430	1.1167000	0.4784095	0.1179491	0.0945917	0.1393738	0.0628523	0.1327566	0.3179961	0.1094044	0.2009110	0.0368863	0.0064687	0.5711156	0.9155763	0.0153972	0.0886904	0.4745258	0.2105144	0.4055497
200	0.9866137	1.0737414	0.4149829	0.1244651	0.0812226	0.2841597	0.0576779	0.1409201	0.2889151	0.1031332	0.2084507	0.0334386	0.0001896	0.6045014	0.8928344	0.0287500	0.0922889	0.4055571	0.1769221	0.3617497
