xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
0.0	0.0	0.0	0.0	-0.8585051302798092	0.0	0.0	0.0	0.0	0.0	0.0	-0.5055462648160756	0.0	0.0	-0.031361313902227204	0.0	-0.2964116723742336	0.0	0.0	0.0
0.7565810090122645	0.0	0.0	-0.4720190844964236	-0.8023921172134578	0.0	-0.924540766980499	0.0	0.0	-0.21426029969006777	0.0	0.0	-0.21794359385967255	0.27552821983458176	0.0	0.0	-0.5559404592495412	0.0	0.0	0.0
0.0	0.0	-0.9534864730667323	0.0	0.0	-0.9553852633107454	0.0	-0.31041876785457134	-0.15116970823146403	0.0	-0.9225622632075101	-0.7967816961463541	0.0	0.0	0.0	0.0	0.0	-0.15178217785432935	0.0	0.0
0.25519765296074504	0.0	0.0	-0.9139760367106646	0.0	0.0	-0.2486789298709482	-0.15678883716464043	-0.9094502578955144	-0.01125582167878747	-0.4854648804757744	0.0	0.0	0.9231797934776701	0.0	0.0	-0.04416793514974415	-0.4415160764474422	-0.5915002052206546	0.0
0.14526073715704438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33080502483062446	0.0	0.0	0.0	0.0	0.8256679019691952	0.0	0.0	0.0	-0.7700295650865883	-0.4705042061395943	0.0
0.0	-0.8370497862342745	0.0	0.0	0.0	0.0	0.0	0.0	-0.09232202940620482	-0.1388933735433966	0.0	0.0	0.0	0.0	0.0	-0.32846074155531824	0.0	0.0	0.0	0.0
0.33432197488899285	0.0	0.0	-0.9619331879075617	0.0	0.0	0.0	0.0	-0.36841545905917883	0.0	-0.753142463741824	0.0	-0.21322940196841955	0.546015656393633	0.0	0.0	0.0	-0.9178974281530827	0.0	0.0
0.0	0.0	0.0	-0.4246531829703599	0.0	-0.9530687455553561	0.0	0.0	0.0	0.0	0.0	0.0	-0.24291940918192267	0.24754648080901875	0.0	0.0	-0.0801914487965405	-0.057515094289556146	0.0	-0.5200468110851943
0.0	0.0	0.0	0.0	-0.6674776563886553	0.0	-0.1411072351038456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4491433708462864	0.0	0.0	0.0
0.8494019560707634	-0.7868696514051408	-0.8186255826149136	-0.23365939548239112	-0.4299054015427828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6592699146089976	-0.9675139249302447	-0.27527724858373404	-0.890971268992871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3795977088889636	0.17196859918309934	0.0	0.0	0.0	-0.29415429662913084	-0.28241133969277143
0.5922187949722534	-0.6557225966826081	0.0	0.0	-0.8552532522007823	-0.5729088797233999	0.0	0.0	0.0	-0.9715797123499215	0.0	0.0	-0.1615225796122104	0.0	0.0	0.0	0.0	0.0	-0.5461040674708784	0.0
