gadX	torR	hdeA	hdeB	yhiD
0.0	-0.7029919223859906	0.0	0.0	0.0
-0.5699807719793171	0.0	0.05453663250420383	0.0	0.0
0.0	0.0	-0.06064315232459315	0.1456691663377076	0.0
0.0	-0.45034086564555764	0.0	-0.08792048076725607	0.0
0.0	-0.7521125734783709	0.0	0.0	0.6011318519744304
-0.16593026579357684	0.0	0.0	0.7206099344082265	0.26020589513100956
0.0	0.0	0.11122473889019481	0.0	0.0
-0.05218565044924617	-0.893901492934674	0.0	0.0	0.0
0.0	0.0	0.8469171461275606	0.8654129424728542	0.31657574740566585
0.0	-0.0666088736616075	0.0	0.6136396067347466	0.0
0.0	-0.030907760374248028	0.0	0.0	0.0
-0.10902670444920659	0.0	0.0	0.016814237566673704	0.0
0.0	-0.3997838960494846	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.5604784801732837	0.0
0.0	0.0	0.05639476632688335	0.0	0.8566741123362658
-0.8887831426691264	0.0	0.29302428733546426	0.7767238119747578	0.0
0.0	-0.2399630283471197	0.0	0.06006663047150666	0.0
0.0	0.0	0.0	0.6978332243058919	0.0
-0.8210162511095405	0.0	0.1588263018148779	0.6055217875298201	0.0
0.0	0.0	0.0	0.09867205458135302	0.0
-0.394238717854023	-0.5965921613387764	0.5811023400257169	0.9049174919389277	0.0
0.0	0.0	0.0	-0.039800931127733044	0.0
0.0	0.0	0.0	0.7693310639485805	0.0
0.0	0.0	0.09182761540625385	0.0	0.0
-0.14128590072505176	0.0	0.0	0.5381338751074015	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	-0.636702241608873	0.4061256086080163	0.0	0.0
0.0	-0.34743662853725255	0.16350996914308658	0.0	0.0
0.0	-0.9206662853248417	0.0	0.0	0.0
0.0	0.0	0.0	0.8539888557177125	0.155254374913427
0.0	0.0	0.0	0.0	0.1304532126090703
0.0	0.0	0.0	0.0	0.02428959398858524
0.0	-0.3367666930425912	0.0	0.526638135652998	0.9201194459605244
0.0	0.0	0.0	9.3280443930574E-5	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.4860011937654405	0.0	0.0
0.0	-0.3676510320510715	0.276079169483745	0.0	0.0
0.0	0.0	0.39448647527944436	0.0	0.0
-0.1777303961571306	-0.21779626398347318	0.0	0.0	0.0
-0.81691236468032	0.0	0.0	0.0	0.537163815417814
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.7286549896132289	0.5269331407766071
0.0	0.0	0.0	0.0	0.7217156320843128
0.0	0.0	0.23000940308895101	0.5368277552668094	0.0
-0.030114159220829606	-0.47360692801885307	0.0	0.7747719132937579	0.0
-0.5674830414354801	0.0	0.1407503858300685	0.06307791766152675	0.0
0.0	0.0	0.0	0.1037474038209855	0.9508096798821566
0.0	0.0	0.0	0.0	0.0
