hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
0.0	-0.21194751770235598	0.0	0.0	0.0	0.0	0.0	0.15307245305528594	0.0	0.0	0.0	0.0	0.0	-0.40243664627360537	0.25593066974312706	0.0	0.0	0.0	0.0	0.8577348717098188
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43829279022637185	0.0	0.0	0.22403117631164954	0.696886147276989	0.0	-0.3718911649979404	0.0	0.0	0.0
0.0	0.0	-0.40898143663071096	0.0	0.17734344913415634	0.0	0.007831297388665892	0.0	0.0	0.0	0.0	0.0	0.0	-0.09377871906781926	0.0	0.0	0.0	0.0	-0.5018440388124641	0.0
0.0	0.0	0.0	-0.8693404661025852	0.0	0.07049335797993687	0.0	0.0	0.0	0.0	0.2509487897844183	0.0	0.0	0.4861032100261526	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.06344800209626555	0.0	0.0	0.0	0.16732337398199587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.915176633882827	0.0	0.0	0.4906523673144597	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28880512644761186	0.0	0.022507900957217976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6733933351078134
0.0	-0.37640552781522274	0.0	-0.7972618076018989	0.3032579035943004	0.8347482781645491	0.0	0.0	0.0	0.0	0.5071671803237068	0.0	0.3137652438595089	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1779492329377051	-0.715365580515936	-0.33330796263180673	0.0	0.0	0.0	0.7019902735877712	0.0	-0.43085398061646396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19142161293900195	0.0	0.0
0.0	-0.4365722571965307	0.0	-0.5873561450280249	0.0	0.0	0.8623823514603008	0.46941451793325795	0.0	-0.002980682996651718	0.0	0.0	0.0	0.0	0.0	0.4596951560109371	0.0	0.0	0.1131643605436925	0.0
0.7270151224955286	0.0	0.0	0.0	-0.38002605359278596	0.0	0.9265571218378772	0.3190365642753775	0.4354721316836936	0.0	0.0	0.0	0.2855410429178866	0.0	0.0	0.0	0.09910431449825552	0.19892467775395695	-0.1750192452203687	0.6478030711022269
